
i,N,M,t,
1,161,5000,0.006504,
2,161,5000,0.140430,
1,50,2210,0.000886,
2,50,2210,0.006704,
1,162,5000,0.006531,
2,162,5000,0.140276,
1,50,2222,0.000894,
2,50,2222,0.006736,
1,163,5000,0.002562,
2,163,5000,0.140855,
1,50,2235,0.000906,
2,50,2235,0.006789,
1,165,5000,0.006580,
2,165,5000,0.145154,
1,50,2247,0.000903,
2,50,2247,0.006751,
1,166,5000,0.006617,
2,166,5000,0.147615,
1,50,2259,0.000927,
2,50,2259,0.006695,
1,167,5000,0.006823,
2,167,5000,0.146067,
1,50,2272,0.000928,
2,50,2272,0.006916,
1,169,5000,0.006703,
2,169,5000,0.149887,
1,50,2284,0.000916,
2,50,2284,0.007036,
1,170,5000,0.006827,
2,170,5000,0.155188,
1,50,2296,0.000917,
2,50,2296,0.007041,
1,171,5000,0.006794,
2,171,5000,0.150526,
1,50,2308,0.000918,
2,50,2308,0.007248,
1,173,5000,0.007081,
2,173,5000,0.152505,
1,50,2321,0.000922,
2,50,2321,0.007064,
1,174,5000,0.007091,
2,174,5000,0.155847,
1,50,2333,0.000935,
2,50,2333,0.007188,
1,175,5000,0.007060,
2,175,5000,0.163087,
1,50,2345,0.000940,
2,50,2345,0.007022,
1,176,5000,0.003075,
2,176,5000,0.162883,
1,50,2357,0.000950,
2,50,2357,0.007282,
1,178,5000,0.007269,
2,178,5000,0.163722,
1,50,2370,0.000953,
2,50,2370,0.007314,
1,179,5000,0.007204,
2,179,5000,0.164875,
1,50,2382,0.000954,
2,50,2382,0.007566,
1,180,5000,0.007236,
2,180,5000,0.169915,
1,50,2394,0.000962,
2,50,2394,0.007347,
1,182,5000,0.007358,
2,182,5000,0.172431,
1,50,2406,0.000987,
2,50,2406,0.003451,
1,183,5000,0.007500,
2,183,5000,0.169867,
1,50,2419,0.000959,
2,50,2419,0.007451,
1,184,5000,0.007376,
2,184,5000,0.171838,
1,50,2431,0.000973,
2,50,2431,0.007523,
1,186,5000,0.007493,
2,186,5000,0.175169,
1,50,2443,0.001003,
2,50,2443,0.007547,
1,187,5000,0.007588,
2,187,5000,0.178773,
1,50,2456,0.000970,
2,50,2456,0.007417,
1,188,5000,0.007696,
2,188,5000,0.177915,
1,50,2468,0.000976,
2,50,2468,0.007627,
1,190,5000,0.007730,
2,190,5000,0.183098,
1,50,2480,0.000991,
2,50,2480,0.007604,
1,191,5000,0.007818,
2,191,5000,0.181176,
1,50,2492,0.000997,
2,50,2492,0.007781,
1,192,5000,0.007759,
2,192,5000,0.190381,
1,50,2505,0.001031,
2,50,2505,0.007920,
1,194,5000,0.007947,
2,194,5000,0.190850,
1,50,2517,0.000978,
2,50,2517,0.007929,
1,195,5000,0.007868,
2,195,5000,0.196827,
1,50,2529,0.001013,
2,50,2529,0.007899,
1,196,5000,0.007995,
2,196,5000,0.192542,
1,50,2541,0.001056,
2,50,2541,0.007963,
1,198,5000,0.008047,
2,198,5000,0.194891,
1,50,2554,0.001023,
2,50,2554,0.007859,
1,199,5000,0.004078,
2,199,5000,0.201125,
1,50,2566,0.001017,
2,50,2566,0.008120,
1,200,5000,0.003984,
2,200,5000,0.199774,
1,50,2578,0.001021,
2,50,2578,0.008076,
1,202,5000,0.008155,
2,202,5000,0.201138,
1,50,2590,0.001070,
2,50,2590,0.008233,
1,203,5000,0.008147,
2,203,5000,0.208014,
1,50,2603,0.001043,
2,50,2603,0.008486,
1,204,5000,0.008307,
2,204,5000,0.208152,
1,50,2615,0.000000,
2,50,2615,0.005341,
1,206,5000,0.008277,
2,206,5000,0.218846,
1,50,2627,0.001076,
2,50,2627,0.008398,
1,207,5000,0.008389,
2,207,5000,0.208101,
1,50,2640,0.001057,
2,50,2640,0.008455,
1,208,5000,0.004360,
2,208,5000,0.218797,
1,50,2652,0.001088,
2,50,2652,0.008362,
1,209,5000,0.008438,
2,209,5000,0.219842,
1,50,2664,0.001080,
2,50,2664,0.008432,
1,211,5000,0.004534,
2,211,5000,0.224250,
1,50,2676,0.001058,
2,50,2676,0.008675,
1,212,5000,0.008612,
2,212,5000,0.221655,
1,50,2689,0.001061,
2,50,2689,0.008576,
1,213,5000,0.004579,
2,213,5000,0.226907,
1,50,2701,0.001110,
2,50,2701,0.008620,
